concurso,data_sorteio,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,arrecadacao_total,ganhadores_15_numeros,ganhadores_14_numeros,ganhadores_13_numeros,ganhadores_12_numeros,ganhadores_11_numeros,valor_rateio_15_numeros,valor_rateio_14_numeros,valor_rateio_13_numeros,valor_rateio_12_numeros,valor_rateio_11_numeros,acumulado_15_numeros,estimativa_premio,valor_acumulado_especial
142,12/06/2006,1,18,19,5,23,7,6,16,17,24,15,9,22,4,2,0,1,373,15636,246926,1364705,"1692224,96","1944,35",10,4,2,0,0,0
143,19/06/2006,21,11,22,9,24,8,17,15,25,1,16,23,13,19,2,0,5,677,29324,326923,1643883,"201113,36","634,16",10,4,2,0,0,0
144,26/06/2006,12,17,1,2,21,4,14,22,9,24,20,7,19,11,25,0,36,3305,39042,295178,1379832,"35936,8","167,14",10,4,2,0,0,0
145,03/07/2006,14,15,20,22,13,10,25,11,18,9,24,2,3,1,17,0,3,815,30436,317461,1442001,"395268,82","621,2",10,4,2,0,0,0
146,10/07/2006,17,22,12,2,11,5,24,10,14,13,25,16,1,23,8,0,6,557,21375,302776,1519562,"219758,4","1014,53",10,4,2,0,0,0
147,17/07/2006,2,5,12,13,21,23,22,11,1,10,6,25,4,19,16,0,3,624,25125,278315,1546507,"472583,65","973,73",10,4,2,0,0,0
148,24/07/2006,5,22,24,2,1,12,8,21,16,25,20,9,13,4,17,0,17,1024,23278,276551,1552055,"84381,14","598,09",10,4,2,0,0,0
149,01/08/2006,24,19,2,17,16,9,25,5,20,18,13,10,15,23,7,0,5,616,22974,303309,1711630,"235870,42","820,52",10,4,2,0,0,0
150,07/08/2006,21,7,11,5,8,19,1,25,6,22,24,14,23,9,3,0,1,333,15291,253716,1446824,"1641679,38","2112,84",10,4,2,0,0,0
151,14/08/2006,18,10,13,11,3,9,12,4,23,7,24,16,14,5,20,0,5,626,23014,277803,1417099,"333476,48","1141,52",10,4,2,0,0,0
152,21/08/2006,23,3,25,6,19,22,24,15,7,17,8,13,20,4,5,0,3,749,23507,300483,1517767,"435453,14","744,65",10,4,2,0,0,0
153,28/08/2006,13,21,5,25,8,20,23,12,11,4,1,18,2,24,17,0,8,958,30251,365810,1713398,"130468,18","465,16",10,4,2,0,0,0
154,04/09/2006,18,9,16,5,15,24,23,10,1,11,14,6,13,3,2,0,1,604,27326,262834,1558936,"1415829,77","1004,61",10,4,2,0,0,0
155,11/09/2006,15,10,16,14,8,11,19,2,21,20,18,4,5,22,24,0,0,559,22378,250331,1242889,0,"1352,92",10,4,2,"1764652,94",0,0
156,18/09/2006,3,8,9,15,13,10,12,4,23,20,22,1,19,11,14,0,7,606,23142,344899,1779082,"544973,94","1449,91",10,4,2,0,0,0
157,25/09/2006,10,14,2,18,25,9,21,7,24,1,16,6,4,12,19,0,9,1164,27968,294624,1457786,"184264,18","608,27",10,4,2,0,0,0
158,02/10/2006,11,15,22,17,12,23,2,7,16,18,19,9,20,10,8,0,2,379,14044,227436,1333606,"903537,47","2043,43",10,4,2,0,0,0
159,09/10/2006,11,2,1,3,17,15,25,10,24,14,4,6,8,5,20,0,2,699,23036,296027,1584286,"703307,5","862,43",10,4,2,0,0,0
160,16/10/2006,15,14,3,12,16,24,19,21,20,17,10,4,9,1,11,0,3,343,15261,208539,1221736,"597551,18","2239,89",10,4,2,0,0,0
161,19/10/2006,21,24,1,8,20,17,25,18,11,5,15,23,22,16,13,0,0,611,15775,239227,918806,0,"331,96",10,4,2,"475058,19",1800000,0
